35.8663 4.5071 2.3199 0.9866 -3.4398 -3.4401 -4.4192 3.6618 1.0112 2.0807
-4.7942 32.3163 3.3244 -2.8766 -3.1818 -3.1660 -1.9576 0.2476 -0.6805 -2.0877
1.1185 -3.6051 27.9563 -1.3364 -0.4393 2.8518 -3.0033 0.1423 0.9241 -4.5355
1.0754 -3.2948 -4.3495 34.8779 4.6563 3.0840 -1.9539 -4.0233 1.8423 -0.5985
-3.7796 -0.0482 -4.6561 4.0932 29.9045 1.6252 -1.8829 0.2007 0.4671 -3.1515
4.6958 2.7513 4.3950 3.9483 0.9790 40.2191 -4.1151 -3.0402 -4.5477 -1.7467
-1.1132 -2.2865 3.2874 -1.4325 -2.1907 0.4270 32.8825 3.0220 -4.2545 4.8689
2.7224 -3.0128 -4.9448 3.1546 2.0686 2.2901 2.7127 36.1627 -1.4153 -3.8413
3.6310 1.2330 -1.6910 -4.3644 -1.8902 -1.7482 2.2961 1.3756 28.5073 -0.2779
-3.8041 2.1324 2.6079 0.6128 2.7097 -0.0620 0.2273 -0.7246 -4.7458 27.6266
46.2149 -15.3238 30.4240 127.4676 118.9169 173.8628 254.8062 275.7034 244.4905 253.2596
